Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99000446;09080827000127;2025/10/09
99000028;30745589000118;2025/10/06
99000208;35375155000359;2025/10/07
99000035;30745589000118;2025/10/06
99006314;10242470000115;2025/10/06
99000001;28283202000107;2025/10/06
99001968;07232177000162;2025/10/09
99002085;12390967000106;2025/10/09
99012359;30961690000106;2025/10/09
99000259;14793908000104;2025/10/06
99000146;33306515000254;2025/10/07
99000157;44001904000107;2025/10/06
99000467;41569982000114;2025/10/06
99000468;41569982000114;2025/10/06
99000059;57559082000126;2025/10/06
99000060;57559082000126;2025/10/06
99000329;39577453000110;2025/10/09
99003920;00180260000196;2025/10/09
99000003;61242370000120;2025/10/07
