Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99000062;27795795000128;2026/02/19
99004644;13505422000160;2026/02/20
99004459;00180260000196;2026/02/20
99004645;13505422000160;2026/02/20
99001017;15271377000152;2026/02/18
99000057;59104636000126;2026/02/19
99001070;73833352000444;2026/02/18
99000326;04776151000197;2026/02/20
99008461;24596429000151;2026/02/18
99003640;07199061001817;2026/02/20
99003641;07199061001817;2026/02/20
99000025;29237381000109;2026/02/19
99000177;45173177000128;2026/02/20
99009615;29138672000140;2026/02/18
99000178;45173177000128;2026/02/20
99004646;13505422000160;2026/02/20
99004647;13505422000160;2026/02/20
99003185;24875410000144;2026/02/20
99000755;18300438000150;2026/02/19
99008037;23093799000103;2026/02/19
99072458;29852274000190;2026/02/18
99072464;29852274000190;2026/02/18
99000549;39232734000131;2026/02/18
99015653;42915402000166;2026/02/18
99000007;62487815000102;2026/02/20
99000008;62487815000102;2026/02/20
99000376;40407337000132;2026/02/20
99000018;56172490000168;2026/02/20
99000031;05276991004817;2026/02/20
99000203;46366755000105;2026/02/20
99008404;09576816000132;2026/02/18
99008410;09576816000132;2026/02/18
99000177;37847582000156;2026/02/20
99008455;09576816000132;2026/02/18
99008462;09576816000132;2026/02/18
99008464;09576816000132;2026/02/18
99000384;12334122000101;2026/02/18
99000002;08912758000108;2026/02/16
99000769;18300438000150;2026/02/16
99000004;08912758000108;2026/02/16
99073295;29852274000190;2026/02/16
99073523;29852274000190;2026/02/18
