Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99000544;24616990000155;2025/12/03
99000021;46150697000188;2025/12/04
99000570;24616990000155;2025/12/02
99000031;26438856000137;2025/12/01
99000063;49485633000126;2025/12/04
99000068;24272145000100;2025/12/03
99001696;51685844000154;2025/12/02
99000181;29216520000118;2025/12/02
99000137;34223472000125;2025/12/04
99000116;53162406000137;2025/12/02
99004182;00180260000196;2025/12/02
99019746;01577909000170;2025/12/02
99000690;43454624000191;2025/12/02
99000116;49435463000175;2025/12/03
99000084;50017713000136;2025/12/01
99000029;35342404000148;2025/12/02
99000117;49435463000175;2025/12/03
99000597;28175509000194;2025/12/03
99000765;26383797000147;2025/12/03
99010284;05937924000132;2025/12/03
99000525;30400029000121;2025/12/05
99000130;35513736000148;2025/12/04
99000076;57559082000126;2025/12/04
