Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99000003;38100899000197;2026/01/12
99000803;00146531000197;2026/01/13
99000021;52607840000110;2026/01/12
99000028;40222665000164;2026/01/12
99001015;46604043000187;2026/01/12
99000049;47114678000169;2026/01/12
99000001;58239730000120;2026/01/13
99000160;37847582000156;2026/01/15
99000586;68804434000188;2026/01/15
99013169;30961690000106;2026/01/15
99013170;30961690000106;2026/01/15
99000389;58220895000150;2026/01/12
99000011;24365189000184;2026/01/13
99000004;50604004000157;2026/01/12
99000005;50604004000157;2026/01/12
99000044;34137551000113;2026/01/15
99003617;07199061001817;2026/01/13
99007821;23093799000103;2026/01/12
99000591;68804434000188;2026/01/15
99001464;20040294000192;2026/01/13
99000062;45273185000146;2026/01/12
99004607;13505422000160;2026/01/13
99000006;63098866000105;2026/01/13
99000010;26525729000175;2026/01/13
99001607;07524011000543;2026/01/13
99000019;35963108000164;2026/01/13
99000237;41385864000156;2026/01/13
99000420;35304135000125;2026/01/15
99000421;35304135000125;2026/01/15
99000498;31025662000140;2026/01/15
99000499;31025662000140;2026/01/15
99000500;31025662000140;2026/01/15
99000060;31578356000130;2026/01/14
99013309;30961690000106;2026/01/13
99071142;29852274000190;2026/01/13
99015562;42915402000166;2026/01/13
99000396;11408624000169;2026/01/16
99013343;30961690000106;2026/01/15
99017604;37608012000103;2026/01/13
99000505;13235651000293;2026/01/13
99071503;29852274000190;2026/01/13
